高清直播,#genre#
高清HD卡通剧场,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226717/index.m3u8
黑龙江卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225586/2/1000.m3u8
黑龙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226239/1.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225640/index.m3u8
山东卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225484/2/1000.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
山东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226244/1.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225737/index.m3u8
河北卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225610/2/1000.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
河北卫视,http://39.130.215.222:6410/gitv_live/G_HEBEI-HQ/G_HEBEI-HQ.m3u8
河北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226507/1.m3u8
河南卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225611/2/1000.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
河南卫视,http://39.130.215.222:6410/gitv_live/G_HENAN-HQ/G_HENAN-HQ.m3u8
河南卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226525/1.m3u8
广东卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225597/2/1000.m3u8
广东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
广东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226238/1.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225641/index.m3u8
湖北卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225699/2/1000.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226240/1.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
吉林卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226533/1.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225637/index.m3u8
山西卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225730/2/1000.m3u8
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225730/index.m3u8
山西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226531/1.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
江西卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225492/2/1000.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226243/1.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225615/index.m3u8
贵州卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225483/2/1000.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
贵州卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226497/1.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
甘肃卫视,https://hls.gstv.com.cn/g5971p/0292k0.m3u8
甘肃卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225724/2/1000.m3u8
甘肃卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226545/1.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
宁夏卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225726/2/1000.m3u8
宁夏卫视,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226587/1.m3u8
宁夏卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226528/1.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
内蒙古卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225667/2/1000.m3u8
内蒙古卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226530/1.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
青海卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225727/2/1000.m3u8
青海卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225727/index.m3u8
青海卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226529/1.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
广西卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221226211/2/1000.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
广西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226408/1.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225622/index.m3u8
陕西卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225729/2/1000.m3u8
陕西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
陕西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226532/1.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
深圳卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225598/2/1000.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226495/1.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
